zone_id,week_start,flood_event_count_24m,avg_event_rainfall_mm,max_event_rainfall_mm,curfew_count_qtr,avg_curfew_hours,power_outage_count_month,avg_power_outage_hours,traffic_disruption_hours_week,disruption_days_month,proximity_river_km,coastal_exposure_index,elevation_m,adjacent_zone_risk_prev_week,historical_risk_score
zone_1,2024-03-02,1,154.472,175.495,0,3.079,4,3.406,8.812,8,8.459,0.495,215.356,24.709,98.0
zone_1,2024-03-09,3,165.645,180.198,0,2.565,1,5.356,9.64,5,8.459,0.495,215.356,39.267,98.0
zone_1,2024-03-16,0,173.654,202.685,0,1.376,4,2.268,10.598,6,8.459,0.495,215.356,49.386,98.0
zone_1,2024-03-23,1,176.208,197.997,1,0.743,3,4.644,8.951,8,8.459,0.495,215.356,59.546,98.0
zone_1,2024-03-30,2,164.145,185.447,0,1.738,1,1.597,8.55,4,8.459,0.495,215.356,63.871,98.0
zone_1,2024-04-06,3,159.678,185.202,1,1.837,0,1.685,10.746,5,8.459,0.495,215.356,71.691,98.0
zone_1,2024-04-13,2,163.061,186.634,0,0.513,0,1.545,8.52,7,8.459,0.495,215.356,76.978,98.0
zone_1,2024-04-20,3,154.472,184.866,0,1.861,1,3.478,10.372,5,8.459,0.495,215.356,79.372,98.0
zone_1,2024-04-27,2,158.975,174.739,0,1.177,1,4.495,11.268,7,8.459,0.495,215.356,80.205,98.0
zone_1,2024-05-04,2,121.122,136.004,0,1.978,3,5.196,13.746,6,8.459,0.495,215.356,86.691,98.0
zone_1,2024-05-11,1,111.689,133.831,0,2.059,2,1.861,6.863,5,8.459,0.495,215.356,86.973,98.0
zone_1,2024-05-18,0,150.689,171.731,1,1.235,3,2.007,10.772,6,8.459,0.495,215.356,89.071,98.0
zone_1,2024-05-25,0,132.602,147.364,0,0.974,6,3.241,8.759,8,8.459,0.495,215.356,90.544,98.0
zone_1,2024-06-01,1,113.883,135.349,0,3.924,0,2.578,10.692,3,8.459,0.495,215.356,92.892,98.0
zone_1,2024-06-08,1,104.959,121.802,0,3.607,0,3.708,5.425,5,8.459,0.495,215.356,92.125,98.0
zone_1,2024-06-15,3,86.338,99.312,0,2.689,1,4.103,9.307,8,8.459,0.495,215.356,91.613,98.0
zone_1,2024-06-22,1,91.566,109.776,0,2.29,4,1.39,7.614,6,8.459,0.495,215.356,92.582,98.0
zone_1,2024-06-29,0,91.235,106.002,0,1.138,3,4.236,8.359,1,8.459,0.495,215.356,96.077,93.14162898740538
zone_1,2024-07-06,2,85.334,95.035,0,1.832,0,4.902,6.145,4,8.459,0.495,215.356,92.556,98.0
zone_1,2024-07-13,0,68.389,85.38,0,1.962,0,3.255,6.792,5,8.459,0.495,215.356,95.199,91.17551087398482
zone_1,2024-07-20,1,65.596,88.41,1,2.103,1,3.424,6.48,2,8.459,0.495,215.356,96.42,85.66515271410488
zone_1,2024-07-27,0,66.669,90.51,3,2.464,2,2.723,7.854,7,8.459,0.495,215.356,96.651,98.0
zone_1,2024-08-03,0,36.429,57.841,0,0.443,1,1.313,8.28,3,8.459,0.495,215.356,91.788,80.42839173269162
zone_1,2024-08-10,2,28.269,45.593,0,2.639,3,3.073,5.938,6,8.459,0.495,215.356,89.393,85.73953468424679
zone_1,2024-08-17,1,46.621,65.096,1,0.628,0,1.711,6.207,7,8.459,0.495,215.356,86.306,89.83351271404031
